date,weekday,day,month,household,consumption,consumption_type
2012-06-27,2.0,27.0,6.0,04,2633352.2361397105,Fridge
2012-06-28,3.0,28.0,6.0,04,2357230.3723300085,Fridge
2012-06-29,4.0,29.0,6.0,04,2197841.2115600747,Fridge
2012-06-30,5.0,30.0,6.0,04,3081945.620709616,Fridge
2012-07-01,6.0,1.0,7.0,04,2777104.2146595195,Fridge
2012-07-02,0.0,2.0,7.0,04,2615278.343759887,Fridge
2012-07-03,1.0,3.0,7.0,04,2712243.090239625,Fridge
2012-07-04,2.0,4.0,7.0,04,2556909.3768898193,Fridge
2012-07-05,3.0,5.0,7.0,04,2658663.4288696805,Fridge
2012-07-06,4.0,6.0,7.0,04,2335954.16376997,Fridge
2012-07-07,5.0,7.0,7.0,04,2397388.6830900335,Fridge
2012-07-08,6.0,8.0,7.0,04,2492277.1591399857,Fridge
2012-07-09,0.0,9.0,7.0,04,2677771.7800297122,Fridge
2012-07-10,1.0,10.0,7.0,04,2650515.8181896154,Fridge
2012-07-11,2.0,11.0,7.0,04,2614064.716639801,Fridge
2012-07-12,3.0,12.0,7.0,04,2508474.9868498496,Fridge
2012-07-13,4.0,13.0,7.0,04,2387677.9413800063,Fridge
2012-07-14,5.0,14.0,7.0,04,2469053.365599885,Fridge
2012-07-15,6.0,15.0,7.0,04,2140489.5098601584,Fridge
2012-07-16,0.0,16.0,7.0,04,2210014.981010046,Fridge
2012-07-17,1.0,17.0,7.0,04,2184869.5189301292,Fridge
2012-07-18,2.0,18.0,7.0,04,2286448.343970083,Fridge
2012-07-19,3.0,19.0,7.0,04,2356658.761060043,Fridge
2012-07-20,4.0,20.0,7.0,04,2460815.935339904,Fridge
2012-07-21,5.0,21.0,7.0,04,2230477.160710105,Fridge
2012-07-22,6.0,22.0,7.0,04,2330727.961329997,Fridge
2012-07-23,0.0,23.0,7.0,04,2243898.237490168,Fridge
2012-07-24,1.0,24.0,7.0,04,2744468.410929536,Fridge
2012-07-25,2.0,25.0,7.0,04,2631089.9819496325,Fridge
2012-07-26,3.0,26.0,7.0,04,2881579.5423493586,Fridge
2012-07-27,4.0,27.0,7.0,04,3041501.4364194646,Fridge
2012-07-28,5.0,28.0,7.0,04,3306814.0587095167,Fridge
2012-07-29,6.0,29.0,7.0,04,2833762.2447496075,Fridge
2012-07-30,0.0,30.0,7.0,04,2675985.192679618,Fridge
2012-07-31,1.0,31.0,7.0,04,2754655.7003097325,Fridge
2012-08-01,2.0,1.0,8.0,04,3196996.239199728,Fridge
2012-08-02,3.0,2.0,8.0,04,3263496.270089538,Fridge
2012-08-03,4.0,3.0,8.0,04,3096309.7612293134,Fridge
2012-08-04,5.0,4.0,8.0,04,3306990.592969452,Fridge
2012-08-05,6.0,5.0,8.0,04,3131907.0638194145,Fridge
2012-08-06,0.0,6.0,8.0,04,2931642.6004992593,Fridge
2012-08-07,1.0,7.0,8.0,04,2617517.497339836,Fridge
2012-08-08,2.0,8.0,8.0,04,2978925.689489319,Fridge
2012-08-09,3.0,9.0,8.0,04,2753327.070139647,Fridge
2012-08-10,4.0,10.0,8.0,04,2608042.1849898063,Fridge
2012-08-11,5.0,11.0,8.0,04,2727917.745869732,Fridge
2012-08-12,6.0,12.0,8.0,04,2911710.678429439,Fridge
2012-08-13,0.0,13.0,8.0,04,2877307.169739536,Fridge
2012-08-14,1.0,14.0,8.0,04,2922843.790159522,Fridge
2012-08-15,2.0,15.0,8.0,04,3098252.194939495,Fridge
2012-08-16,3.0,16.0,8.0,04,3360853.7110891957,Fridge
2012-08-17,4.0,17.0,8.0,04,2753695.933039653,Fridge
2012-08-18,5.0,18.0,8.0,04,3073950.47241946,Fridge
2012-08-19,6.0,19.0,8.0,04,3209862.3164294786,Fridge
2012-08-20,0.0,20.0,8.0,04,3361988.8510692646,Fridge
2012-08-21,1.0,21.0,8.0,04,3511775.043559354,Fridge
2012-08-22,2.0,22.0,8.0,04,3526874.2523092683,Fridge
2012-08-23,3.0,23.0,8.0,04,3476725.396359216,Fridge
